Date,AUM_9008,AUM_9042,AUM_9439
10/17/2024,111250000,147550000,29480000
10/18/2024,112640000,149400000,29750000
10/21/2024,113640000,150720000,30030000
10/22/2024,108460000,148320000,29480000
10/23/2024,107360000,147460000,29210000
10/24/2024,107810000,148070000,29480000
10/25/2024,108320000,148760000,29480000
10/28/2024,109740000,150710000,29750000
10/30/2024,116070000,159390000,30620000
10/31/2024,116150000,159490000,30620000
11/1/2024,111110000,152580000,29300000
11/4/2024,110490000,151740000,29040000
11/5/2024,110350000,151540000,29040000
11/6/2024,119000000,163410000,31410000
11/7/2024,120220000,165090000,31680000
11/8/2024,121340000,167650000,32200000
11/11/2024,8190000,182460000,34320000
11/12/2024,142810000,201590000,37030000
11/13/2024,138300000,204780000,36260000
11/14/2024,8820000,211070000,37290000
11/15/2024,139610000,213720000,36510000
11/18/2024,145460000,244600000,38070000
11/19/2024,145610000,245560000,38070000
11/20/2024,147010000,248960000,38330000
11/21/2024,154020000,251070000,40400000
11/22/2024,157400000,258640000,41180000
11/25/2024,155530000,288350000,40660000
11/26/2024,148910000,278030000,38850000
11/27/2024,147980000,276280000,38590000
11/28/2024,9630000,277960000,39620000
11/29/2024,152150000,277200000,39880000
12/2/2024,152310000,277470000,39880000
12/3/2024,151330000,275690000,39620000
12/4/2024,153030000,278780000,40140000
12/5/2024,161830000,289630000,42210000
12/6/2024,155330000,277980000,40660000
12/9/2024,156910000,252610000,40920000
12/10/2024,155350000,247760000,40140000
12/11/2024,155990000,267390000,40400000
12/12/2024,160910000,271640000,41690000
12/13/2024,159750000,269690000,41440000
12/16/2024,168110000,287140000,38470000
12/17/2024,170860000,291810000,39150000
12/18/2024,166420000,284260000,38240000
12/19/2024,162100000,276850000,37090000
12/20/2024,156400000,263529999.99999997,35720000
12/23/2024,152070000,224500000,34800000
12/24/2024,150170000,218420000,34350000
12/27/2024,152560000,221890000,35030000
12/30/2024,149370000,217270000,34120000
12/31/2024,148170000,215480000,3380000
1/2/2025,152770000,222200000,3500000
1/3/2025,154460000,223950000,3520000
1/6/2025,159160000,230750000,3640000
1/7/2025,163170000,236550000,3730000
1/8/2025,153070000,220550000,35030000
1/9/2025,150210000,216440000,34350000
1/10/2025,151270000,215420000,34570000
1/13/2025,150030000,213630000,34350000
1/14/2025,152120000,216620000,31820000
