Date,AUM_9008,AUM_9042,AUM_9439
30-Apr-24,61117310,123610690,63138000
2-May-24,57702000,115662500,62589000
3-May-24,60480900,124187540,65455000
6-May-24,65638020,129903620,70967000
7-May-24,71367520,128632030,70278000
8-May-24,75985260,125823600,68900000
9-May-24,74312150,119136600,68211000
10-May-24,70143120,122585100,70278000
13-May-24,61111710,104194350,58410000
14-May-24,67481900,104499720,56430000
16-May-24,66796350,105797980,58300000
17-May-24,73526400,105542920,58300000
20-May-24,80389165,106278480,59171000
21-May-24,85579100,113147020,63042000
22-May-24,84025855,111089440,61936000
23-May-24,83843900,109056780,61936000
24-May-24,80800070,105095880,59724000
27-May-24,80800070,107315940,60830000
28-May-24,81630315,106161900,60822000
29-May-24,80763675,106807380,61380000
30-May-24,80306265,106191240,60822000
31-May-24,80854920,106914960,61380000
3-Jun-24,82005280,139435200,61938000
4-Jun-24,82395250,139510980,59718000
5-Jun-24,85024250,143956740,61332000
6-Jun-24,84748205,143489430,61310480
7-Jun-24,84989595,143893590,61332000
11-Jun-24,80510640,137725560,58642000
12-Jun-24,78769080,137159760,58104000
13-Jun-24,79062750,137655840,58642000
14-Jun-24,74943680,139522320,58104000
17-Jun-24,76026500,130525380,48336000
18-Jun-24,75438850,129514320,47880000
19-Jun-24,75438850,129058110,47880000
20-Jun-24,74916240,130788460,48336000
21-Jun-24,72586125,128401900,47424000
24-Jun-24,70090875,124675000,45600000
25-Jun-24,68442750,91351820,44688000
26-Jun-24,69320250,95483520,45144000
27-Jun-24,68281875,94050880,45276000
28-Jun-24,69044625,98043520,45553200
2-Jul-24,70366500,99909780,46200000
3-Jul-24,93688980,97175260,46200000
4-Jul-24,93688980,93402820,43428000
5-Jul-24,88896200,87433920,40194000
8-Jul-24,99078360,89782560,41118000
9-Jul-24,101888980,95070420,42504000
10-Jul-24,105066280,105395040,43890000
11-Jul-24,103361040,104988300,42966000
12-Jul-24,119561650,120163960,42504000
15-Jul-24,131710555,132363280,46662000
16-Jul-24,135167175,132665960,46662000
17-Jul-24,142177575,137614120,48510000
18-Jul-24,140883450,136467540,48048000
19-Jul-24,136013280,134518380,47586000
22-Jul-24,141544410,141630180,49896000
23-Jul-24,139873040,139957590,49434000
24-Jul-24,138786860,137072000,48972000
25-Jul-24,135115740,133432000,47586000
26-Jul-24,140976060,139217000,49896000
29-Jul-24,146223825,144391000,51744000
30-Jul-24,113298885,138931000,49434000
31-Jul-24,112363245,137787000,48972000
1-Aug-24,108963075,133601000,47586000
2-Aug-24,108856290,133471000,47586000
5-Aug-24,81667560,108784000,38808000
6-Aug-24,87038640,115947000,41580000
7-Aug-24,88584600,118001000,42042000
8-Aug-24,89330280,118989000,42504000
9-Aug-24,99350130,126646000,45276000
12-Aug-24,95139840,121264000,43428000
13-Aug-24,96554680,123071000,29165000
14-Aug-24,99087700,126295000,30086000
15-Aug-24,94476430,120419000,29016000
